"sim_set_num","M_i","rho_c_i","u22_i","rho_r_i","n_i","dist_i","true_value","point_est","mean_range","coverage","mean_abs_bias","rmse"
1,1,1,1,1,1,1,-2.22044604925031e-16,-0.0764809783384339,0.400416069284684,0.894,0.0989306328567378,0.12193905249615
2,1,1,1,1,1,2,-2.22044604925031e-16,-0.0637075096282572,0.411030682778263,0.924,0.0958688383814967,0.118558394411351
3,1,1,1,1,2,1,-2.22044604925031e-16,-0.0298033911588364,0.245852122572259,0.918,0.055981773352564,0.0694638684060931
4,1,1,1,1,2,2,-2.22044604925031e-16,-0.0194210138709024,0.252299201199374,0.942,0.0522142541077538,0.0656392109795387
5,1,1,1,1,3,1,-2.22044604925031e-16,-0.0145886194854145,0.175426883582289,0.929,0.0380200537671999,0.047451860849503
6,1,1,1,1,3,2,-2.22044604925031e-16,-0.00406929215043151,0.17729827881685,0.958,0.0348427684816017,0.0434869245029745
7,1,1,1,2,1,1,0.5,0.352048972459583,0.368459484013845,0.617,0.15215742922534,0.1766083351483
8,1,1,1,2,1,2,0.5,0.335249601970267,0.382625775199933,0.58,0.167706689048436,0.196389528018315
9,1,1,1,2,2,1,0.5,0.442761612545959,0.212091585222579,0.795,0.0643871897204816,0.0784864329246041
10,1,1,1,2,2,2,0.5,0.419097946430344,0.224355493457105,0.702,0.083770828379165,0.0994400169197921
11,1,1,1,2,3,1,0.5,0.471511872847522,0.1430276300715,0.879,0.03684598039345,0.0457717483005972
12,1,1,1,2,3,2,0.5,0.44731192936794,0.149434147331096,0.725,0.0547326359819112,0.0644222443214203
13,1,1,1,3,1,1,0.9,0.828282845736591,0.183259066577952,0.532,0.0720134429083656,0.0846365344174202
14,1,1,1,3,1,2,0.9,0.822419954730979,0.191794766236486,0.51,0.0777916900872934,0.0936119241616179
15,1,1,1,3,2,1,0.9,0.876505659876608,0.0739594710027187,0.751,0.0244530432045416,0.0291641855008106
16,1,1,1,3,2,2,0.9,0.869401566397536,0.0803925967287224,0.651,0.0308609293052324,0.0365280644602881
17,1,1,1,3,3,1,0.9,0.888732963424723,0.0430125665414892,0.841,0.0124104249520815,0.0151718636386153
18,1,1,1,3,3,2,0.9,0.882230353025409,0.0463151417395373,0.659,0.0180172461429869,0.0210319266640096
19,1,2,1,1,1,1,8.88178419700125e-16,-0.0764809783384343,0.468342283182951,0.942,0.0989306328567387,0.121939052496151
20,1,2,1,1,1,2,8.88178419700125e-16,-0.0632682420238431,0.480622398605199,0.955,0.096107339236749,0.117974776265082
21,1,2,1,1,2,1,8.88178419700125e-16,-0.0298033911588368,0.257584322159524,0.938,0.0559817733525644,0.0694638684060937
22,1,2,1,1,2,2,8.88178419700125e-16,-0.0197732499176258,0.265229052226288,0.956,0.0508210752834844,0.0647323447018225
23,1,2,1,1,3,1,8.88178419700125e-16,-0.014588619485415,0.177908460441505,0.935,0.0380200537672004,0.0474518608495035
24,1,2,1,1,3,2,8.88178419700125e-16,-0.00353857641349555,0.180858452059748,0.964,0.0341805288939078,0.0428817474308132
25,1,2,1,2,1,1,0.5,0.358098110222348,0.455426187383035,0.757,0.144995450200045,0.1704619663768
26,1,2,1,2,1,2,0.5,0.334037564096443,0.473001388333266,0.724,0.168684538171123,0.195527605685512
27,1,2,1,2,2,1,0.5,0.444111276599177,0.228937963199421,0.847,0.062905003369781,0.0777694312174639
28,1,2,1,2,2,2,0.5,0.416026199946567,0.245782130747453,0.752,0.0861555000498341,0.101262899835199
29,1,2,1,2,3,1,0.5,0.470907923607233,0.148552201782169,0.893,0.0366822330424461,0.0457474740189766
30,1,2,1,2,3,2,0.5,0.44446333335802,0.157777391140713,0.744,0.0573096370623779,0.0665745435957131
31,1,2,1,3,1,1,0.9,0.831166040460474,0.240754762765933,0.735,0.0691570624824959,0.0821065857259911
32,1,2,1,3,1,2,0.9,0.824491284659642,0.258012828618254,0.727,0.075826390100755,0.0912301589338477
33,1,2,1,3,2,1,0.9,0.876508984308941,0.0852354501820649,0.837,0.0245197086427464,0.0293872261798045
34,1,2,1,3,2,2,0.9,0.87050292018956,0.0918236805148622,0.772,0.0298775045996651,0.0351037897114743
35,1,2,1,3,3,1,0.9,0.888820625264956,0.0464256360472301,0.862,0.0124478834957551,0.0151680392781689
36,1,2,1,3,3,2,0.9,0.883134931313644,0.0501824291658015,0.757,0.0172050179025356,0.0201148340876412
37,2,1,1,1,1,1,2.22044604925031e-16,-0.064978687712039,0.383304253695259,0.906,0.0902261994898843,0.111783804055707
38,2,1,1,1,1,2,2.22044604925031e-16,-0.0455417418118004,0.390363905140185,0.935,0.0844366601587652,0.104651116025617
39,2,1,1,1,2,1,2.22044604925031e-16,-0.0241426172857084,0.231157285322359,0.938,0.0507906770272765,0.063275018508322
40,2,1,1,1,2,2,2.22044604925031e-16,-0.00734486959510862,0.236488950356163,0.956,0.046701963049689,0.0581720398024317
41,2,1,1,1,3,1,2.22044604925031e-16,-0.0115512772293752,0.163201087013436,0.94,0.0345067928494827,0.042904838446689
42,2,1,1,1,3,2,2.22044604925031e-16,0.00517864978173284,0.165670885331498,0.963,0.0325116868056611,0.0404441439727692
43,2,1,1,2,1,1,0.433442276267468,0.323625058117233,0.316445794345455,0.727,0.115003784308157,0.137325025828072
44,2,1,1,2,1,2,0.433442276267468,0.32790764696631,0.318289943508198,0.742,0.112092500378098,0.13502777877832
45,2,1,1,2,2,1,0.433442276267468,0.392366231295895,0.179549223471459,0.848,0.0489947256122856,0.0611686542007806
46,2,1,1,2,2,2,0.433442276267468,0.390503446455363,0.182719099773017,0.857,0.0511235349718942,0.0630088516782166
47,2,1,1,2,3,1,0.433442276267468,0.413044171653358,0.121827552004398,0.896,0.0294306956513124,0.0367940909994837
48,2,1,1,2,3,2,0.433442276267468,0.411086944243328,0.122894237739373,0.896,0.0304243641818776,0.0378163012189396
49,2,1,1,3,1,1,0.717157287525381,0.663000622460354,0.152996364945075,0.623,0.0578987539391875,0.067877754188857
50,2,1,1,3,1,2,0.717157287525381,0.643578463436958,0.158203160408837,0.52,0.0743626022543413,0.0856742196311842
51,2,1,1,3,2,1,0.717157287525381,0.698792821606167,0.0941279649456661,0.836,0.0243292225425248,0.030098424783801
52,2,1,1,3,2,2,0.717157287525381,0.673887944010136,0.0964423812973178,0.56,0.0436296282392446,0.0501717412166967
53,2,1,1,3,3,1,0.717157287525381,0.708061498206112,0.0665197648065739,0.891,0.0152718878535977,0.0193029840722149
54,2,1,1,3,3,2,0.717157287525381,0.683110485784014,0.0664783079301027,0.45,0.0341863280605601,0.0379174443242941
55,2,2,1,1,1,1,7.7715611723761e-16,-0.0597761236678371,0.445537312096995,0.953,0.0873651393118622,0.108007538354999
56,2,2,1,1,1,2,7.7715611723761e-16,-0.0336329670128546,0.439227420641039,0.966,0.0789164152872978,0.0980093694345432
57,2,2,1,1,2,1,7.7715611723761e-16,-0.0219571696798146,0.239937824270636,0.948,0.0495863679757806,0.0616274861350097
58,2,2,1,1,2,2,7.7715611723761e-16,0.000805557755231179,0.241757258826967,0.958,0.0455882101280247,0.0570678459298753
59,2,2,1,1,3,1,7.7715611723761e-16,-0.0103950486014319,0.163804045569048,0.948,0.0336240073706141,0.0416366102760186
60,2,2,1,1,3,2,7.7715611723761e-16,0.0134219000366856,0.164516861905165,0.947,0.0327598502822874,0.0408472361639644
61,2,2,1,2,1,1,0.400270837304784,0.311665481709064,0.363636324364398,0.879,0.0945483196017182,0.117171579799322
62,2,2,1,2,1,2,0.400270837304784,0.316121510472898,0.358328483540071,0.89,0.0926583805194402,0.114170379159855
63,2,2,1,2,2,1,0.400270837304784,0.366037594907234,0.177118388079196,0.909,0.0427708390360316,0.0541096996339266
64,2,2,1,2,2,2,0.400270837304784,0.367769500117947,0.180365080384978,0.924,0.0418294419607794,0.0534486228649927
65,2,2,1,2,3,1,0.400270837304784,0.382707876701277,0.114180265990387,0.926,0.0256561646934635,0.0325644607769936
66,2,2,1,2,3,2,0.400270837304784,0.385863332669546,0.115933570314611,0.953,0.02410062801452,0.030731712154683
67,2,2,1,3,1,1,0.627601617141594,0.595077110913829,0.181751636086366,0.933,0.035486843348029,0.0421336095638312
68,2,2,1,3,1,2,0.627601617141594,0.584277325053381,0.185364996347116,0.89,0.0443766341743291,0.0514196111277406
69,2,2,1,3,2,1,0.627601617141594,0.616313875725936,0.106677746505419,0.983,0.0157306101639486,0.0191786925125697
70,2,2,1,3,2,2,0.627601617141594,0.604343020673727,0.10699879820842,0.955,0.0238128592211639,0.0277385093149194
71,2,2,1,3,3,1,0.627601617141594,0.622313646733317,0.0734523158298655,0.995,0.00940991011368181,0.0117319417633077
72,2,2,1,3,3,2,0.627601617141594,0.6101936890731,0.0736827962133681,0.947,0.0177756975669681,0.0201799364403093
